id,text
1624789807011438595,"b'\xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2f\xc3\xa5 hunden i b\xc3\xa5nd! L\xc3\xb8se hunder i Oslo jager og skader r\xc3\xa5dyr. N\xc3\xa5 har viltvakten f\xc3\xa5tt nok.\xe2\x80\x93 B\xc3\xa5ndtvang s\xc3\xa5 fort som mulig. Det \xc3\xb8nsker viltvakten i Oslo, som den siste uken har avlivet fem r\xc3\xa5dyr som er blitt jaget, bitt eller skadet av l\xc3\xb8se hunder.https://t.co/Uw7FLNnCUc'"
1624789016649555973,"b'Oslo, Noruega.'"
1624788256859557889,b'Nok et innlegg om segregering i Osloskolen uten at det viktigste diskuteres: Hvorfor bor det s\xc3\xa5 mange innvandrere i Oslo og Norge? Er det en \xc3\xb8nsket politikk? Kan segregering og barnefattigdom bli mindre med fortsatt h\xc3\xb8y innvandring? https://t.co/v0XmmddX6w'
1624786952594550785,b'Kona til Oslos grunnlegger var fra Kyiv. N\xc3\xa5 f\xc3\xa5r hun endelig et minnesmerke https://t.co/Zd1qoTSD9Z'
1624786879366238210,b'Fredriks Jordal-revolusjon har g\xc3\xa5tt raskere enn forventet. Her er grepene hovedtreneren har lykkes med https://t.co/Y8UeiRj3z2'
1624786359952048129,b'@suzi_serken K\xc3\xb8benhavn er en 100x bedre en Oslo tross alt s\xc3\xa5 er jo k\xc3\xb8ben en sykkelby \xf0\x9f\x98\x82 Danskene vet at det g\xc3\xa5r fint og legge til rette for b\xc3\xa5de bil og sykkel noe Tr\xc3\xa6dal ikke helt har skj\xc3\xb8nt'
1624785576191832069,"b'Sm\xc3\xa5 og store eventyr st\xc3\xa5r i fare for \xc3\xa5 smelte bort mot midten av \xc3\xa5rhundret. Toppturistene og brevandrerne vil alltids finne seg nye ruter, men det sp\xc3\xb8ker for skileiken i lavlandet if\xc3\xb8lge forskere ved Vestlandsforskning og Meteorologisk institutt.https://t.co/BZsAu3VlTd https://t.co/R2yBTxHG8z'"
1624785224868458498,"b'@GregDully @CheGiaevara @fcQuizApp Ja, jeg kan snakker norsk. Well, jeg kan lese og skrive, men \xc3\xa5 snakke og lytte er vanskelig! I rented an Airbnb in Oslo from a Swedish guy actually. Did all the correspondence in Norwegian and he was like \xe2\x80\x9cI\xe2\x80\x99m Swedish so English is easier\xe2\x80\x9d \xf0\x9f\x98\x82'"
1624784910907998209,"b'FT: @NesoddenFotball 2 - Oslo-\xc3\x98rn 3-3 (1-2).12 mann ble med ferga over til Nesodden og la ned en sterk innsats i \xc3\xa5rets f\xc3\xb8rste treningskamp. M\xc3\xa5l: Tormod, Fredrik og Thomas \xf0\x9f\xa6\x85'"
1624784397529677825,b'Seks sj\xc3\xa5f\xc3\xb8rer mistet f\xc3\xb8rerkortet \xe2\x80\x93 samtidig: Kappkj\xc3\xb8rte p\xc3\xa5 E6 s\xc3\xb8r for Oslo. https://t.co/T6K0gWvAZY'
1624783585344475140,b'@paksh1978 @asgeirr De mente sikkert den gruppa som var d\xc3\xa5rlig til bens og kanskje ikke bare de som ikke kunne g\xc3\xa5 eller sykle. Da er det selvf\xc3\xb8lgelig en fordel med bedre tilgjengelighet med p-plasser. Kanskje ikke bare p\xc3\xa5 Oslo S men hele byen :)'
1624783325645643779,b'@embleable @Folketsparti_no @eivindtraedal @TOIforsk Det var som kjent ingen k\xc3\xb8 i Oslo f\xc3\xb8r MDG gjorde inntog i byr\xc3\xa5dskontorene'
